year,female_id,offspring_year_fem,age_fem,inbreed_coef,first_nest,last_nest,breed_dur,terr_qual,dens_fem,dens_pop
1995,146164004,4,2,0.022598267,111,140,29,0.022135,41,217
1987,125159458,1,2,0.001953125,115,166,51,0.023305,58,187
1995,150159216,3,2,0.051055908,100,167,67,0.023513,41,217
1988,135102267,5,2,0.0390625,104,159,55,0.02454,53,157
2003,172168054,3,2,0.076462269,109,150,41,0.026603,27,105
1978,109137444,3,2,0,98,141,43,0.027019,48,209
1979,120130661,3,2,0,107,152,45,0.027304,65,128
2005,176124303,2,2,0.061608747,108,145,37,0.028448,27,151
1993,142169614,1,2,0,100,166,66,0.029875,42,163
2006,176124854,5,2,0,111,147,36,0.030056,34,89
1992,150147192,3,2,0.021484375,72,142,70,0.030864,41,178
1993,142169619,4,2,0.032226563,109,152,43,0.030927,42,163
1992,150147170,5,2,0,66,148,82,0.031138,41,178
2006,176124642,2,2,0.045164481,104,151,47,0.031232,34,89
1994,143173319,2,2,0,103,151,48,0.031858,52,181
2009,226189072,6,2,0.101344873,111,142,31,0.032939,22,83
1983,125160195,4,2,0,82,155,73,0.032984,54,204
2007,176124870,8,2,0.043547712,87,165,78,0.035016,20,93
2009,226189005,5,2,0.021835256,110,142,32,0.035822,22,83
1979,120130681,5,2,0,97,158,61,0.036198,65,128
2003,176124022,4,2,0.083879441,107,149,42,0.037756,27,105
1979,120130640,2,2,0,103,146,43,0.038157,65,128
2010,226189163,3,2,0.031371352,92,164,72,0.038445,32,191
2010,224130527,5,2,0.027719648,94,140,46,0.038524,32,191
2008,224130451,1,2,0.075713586,111,153,42,0.038617,33,114
1983,125160198,4,2,0,87,135,48,0.038764,54,204
1992,150154639,7,2,0.030151367,69,118,49,0.039124,41,178
2010,226189172,8,2,0.142118708,84,175,91,0.040499,32,191
2003,172168072,7,2,0.053376436,94,162,68,0.041362,27,105
1992,150156909,4,2,0.02734375,78,168,90,0.041504,41,178
2009,226189140,3,2,0.10340804,111,139,28,0.042549,22,83
2008,224130433,7,2,0.065710119,110,155,45,0.042718,33,114
1991,150154534,0,2,0.047851563,96,96,0,0.04287,28,100
2003,172168063,7,2,0.034151077,96,174,78,0.04452,27,105
2000,146130452,2,2,0.095350266,107,107,0,0.048918,15,69
2003,172168073,5,2,0.051881552,110,149,39,0.051625,27,105
1981,120143169,5,2,0,81,153,72,0.055606,19,79
1992,150154596,6,2,0.022949219,78,124,46,0.058655,41,178
2005,176124274,6,2,0.058660984,107,146,39,0.060531,27,151
2003,172168064,6,2,0.10655117,100,149,49,0.064767,27,105
1981,123116282,6,2,0,96,147,51,0.078542,19,79
1990,125164909,10,2,0,90,182,92,0.079137,10,69
2007,176124889,6,2,0.045024857,87,177,90,0.083377,20,93
2007,176124853,5,2,0,100,176,76,0.088274,20,93
1978,117174307,3,2,0,122,157,35,0.001924,48,209
1985,125159363,0,2,0,116,173,57,0.005927,71,214
1986,125159199,2,2,0,113,162,49,0.006617,61,155
1993,142169699,3,2,0.022460938,117,151,34,0.006696,42,163
1986,125158954,2,2,0,118,158,40,0.006832,61,155
1986,125158988,1,2,0,115,147,32,0.007667,61,155
1985,125158835,0,2,0.25,120,157,37,0.007703,71,214
1986,125159133,2,2,0,112,142,30,0.008033,61,155
