"id","year","month","decimallatitude","decimallongitude","sex","moistclimond","radclimond","temp","precipbioclim","pevapotranaotb","evapotransaotb","rhaotb","loc1","loc2","loc3","loc4","sample_age","pc.climate","pc1","pc2"
"MVZ80722",1939,4,36.4459,-76.4677,"male",0.988441,146.923,15.4083,1223,71.5843,68.1615,71,0.193421895997663,0.045829421560035,0.108721267893661,0.100862109260882,73,0.105710942054086,0.105710942054085,0.809138443041599
"MVZ105108",1913,4,32.2217,-110.9258,"male",0.268675,186.387,20.4936,301,97.2417,25.2775,39,0.202201592170611,0.0539198889862694,0.0885167134092901,0.145215080338884,99,1.06775008663905,1.06775008663905,-0.8548174778037
"MVZ116369",1949,4,33.5893,-110.0125,"male",0.438211,181.511,12.114,522,66.7288,36.4148,43,0.220836967572305,0.058909427402863,0.110974852468595,0.17287588080631,63,0.664428298692035,0.664428298692033,-0.865131896204095
"MVZ139279",1959,4,32.8194,-83.6096,"male",0.798958,154.651,18.0172,1151,79.4255,67.139,71,0.191817811860941,0.0586402395559451,0.0970077446684195,0.128543526146655,53,0.320844317807745,0.320844317807745,0.624632592760319
"MVZ140467",1960,4,32.7163,-109.1108,"male",0.291536,181.343,15.445,309,67.3737,21.9603,43,0.201274577855682,0.0441823634238971,0.105364484370435,0.162843120070114,52,0.746444213882008,0.746444213882005,-0.972000575339163
"MVZ160195",1970,4,30.1894,-82.6394,"male",0.90797,158.971,19.9444,1346,87.6708,85.1283,74,0.17303330119778,0.0389819602687701,0.0805893514460999,0.108683654688869,42,0.421242150125854,0.421242150125856,1.0715736677899
"MVZ164375",1975,4,33.81064,-96.73082,"male",0.760156,161.328,17.5659,979,80.4058,61.2958,67,0.220619517966696,0.0710786327782646,0.107832182296231,0.126041992404324,37,0.414865606864155,0.414865606864155,0.513798817562453
"MVZ178818",1989,4,38.9593,-76.2036,"male",0.917155,141.245,13.3805,1097,64.481201,60.347,67,0.184493213555361,0.0393185685071575,0.0873764329535495,0.106394028629857,23,0.0422300909458595,0.0422300909458583,0.618850314235218
"MVZ178839",1987,4,38.7716,-76.0709,"male",0.928048,141.676,13.3794,1113,64.481201,60.347,67,0.2128974057844,0.0479888460414841,0.0997958457493427,0.123745775635408,25,0.0422300909458595,0.0422300909458583,0.618850314235218
"MVZ50952",1927,5,27.3,-112.9,"male",0.153493,191.148,21.197,95,94.7078,8.8928,57,0.227396996786445,0.0475916243061641,0.0952928863569968,0.169968098159509,85,1.0048092163146,1.0048092163146,-0.777912787466772
"MVZ84359",1940,5,42.51444,-82.07292,"male",0.883745,132.837,8.96722,855,52.417,47.9412,77,0.179122693543675,0.0509613438504236,0.0966079374817411,0.0981646771837569,72,-0.317401759108264,-0.317401759108266,0.38133012299956
