.draw,method,effect,estimate
121,GAM bootstrap,Indirect effect,4.111369160792348
122,GAM bootstrap,Total effect,5.954571902750904
122,GAM bootstrap,Controlled direct effect,2.24057814624038
122,GAM bootstrap,Indirect effect,3.713993756510524
123,GAM bootstrap,Total effect,4.939906181312054
123,GAM bootstrap,Controlled direct effect,1.8141846347868593
123,GAM bootstrap,Indirect effect,3.1257215465251944
124,GAM bootstrap,Total effect,5.718879199582942
124,GAM bootstrap,Controlled direct effect,1.5102907092058055
124,GAM bootstrap,Indirect effect,4.208588490377137
125,GAM bootstrap,Total effect,6.923543884055423
125,GAM bootstrap,Controlled direct effect,2.164384004791073
125,GAM bootstrap,Indirect effect,4.759159879264351
126,GAM bootstrap,Total effect,5.522916932841348
126,GAM bootstrap,Controlled direct effect,2.1122359744696486
126,GAM bootstrap,Indirect effect,3.410680958371699
127,GAM bootstrap,Total effect,5.728811497026937
127,GAM bootstrap,Controlled direct effect,2.154164144804767
127,GAM bootstrap,Indirect effect,3.5746473522221702
128,GAM bootstrap,Total effect,6.0824829238775955
128,GAM bootstrap,Controlled direct effect,2.1406228356165506
128,GAM bootstrap,Indirect effect,3.941860088261045
129,GAM bootstrap,Total effect,6.841782734107195
129,GAM bootstrap,Controlled direct effect,2.242041073315577
129,GAM bootstrap,Indirect effect,4.599741660791618
130,GAM bootstrap,Total effect,5.814748762849214
130,GAM bootstrap,Controlled direct effect,1.759492431377125
130,GAM bootstrap,Indirect effect,4.055256331472089
131,GAM bootstrap,Total effect,5.974812299713376
131,GAM bootstrap,Controlled direct effect,2.191900170443329
131,GAM bootstrap,Indirect effect,3.7829121292700467
132,GAM bootstrap,Total effect,5.975671547564439
132,GAM bootstrap,Controlled direct effect,1.9951308836642592
132,GAM bootstrap,Indirect effect,3.98054066390018
133,GAM bootstrap,Total effect,5.200914091881679
133,GAM bootstrap,Controlled direct effect,2.2592860458153616
133,GAM bootstrap,Indirect effect,2.9416280460663176
134,GAM bootstrap,Total effect,7.3031796959350634
134,GAM bootstrap,Controlled direct effect,2.1519680490237327
134,GAM bootstrap,Indirect effect,5.151211646911331
135,GAM bootstrap,Total effect,6.914484316219063
135,GAM bootstrap,Controlled direct effect,1.933904423103138
135,GAM bootstrap,Indirect effect,4.980579893115925
136,GAM bootstrap,Total effect,5.6272564086169385
136,GAM bootstrap,Controlled direct effect,1.95198703275579
136,GAM bootstrap,Indirect effect,3.6752693758611485
137,GAM bootstrap,Total effect,6.552924833205971
137,GAM bootstrap,Controlled direct effect,2.2219492767854367
137,GAM bootstrap,Indirect effect,4.330975556420534
138,GAM bootstrap,Total effect,6.275345959592267
138,GAM bootstrap,Controlled direct effect,2.310237831328512
138,GAM bootstrap,Indirect effect,3.9651081282637546
139,GAM bootstrap,Total effect,6.166758011865382
139,GAM bootstrap,Controlled direct effect,2.0994281667208883
139,GAM bootstrap,Indirect effect,4.067329845144494
140,GAM bootstrap,Total effect,7.17753697819953
140,GAM bootstrap,Controlled direct effect,1.8567617548267852
140,GAM bootstrap,Indirect effect,5.3207752233727454
141,GAM bootstrap,Total effect,6.576568685078056
141,GAM bootstrap,Controlled direct effect,2.1652300053923415
141,GAM bootstrap,Indirect effect,4.411338679685715
142,GAM bootstrap,Total effect,5.886370338561017
142,GAM bootstrap,Controlled direct effect,2.038534738345471
142,GAM bootstrap,Indirect effect,3.847835600215546
143,GAM bootstrap,Total effect,6.741178202488171
143,GAM bootstrap,Controlled direct effect,2.275144723102584
143,GAM bootstrap,Indirect effect,4.466033479385587
144,GAM bootstrap,Total effect,5.837217597439799
144,GAM bootstrap,Controlled direct effect,2.1121662414546756
144,GAM bootstrap,Indirect effect,3.7250513559851233
145,GAM bootstrap,Total effect,5.551150791097171
145,GAM bootstrap,Controlled direct effect,1.7123045568488657
145,GAM bootstrap,Indirect effect,3.838846234248305
146,GAM bootstrap,Total effect,7.092540095636677
146,GAM bootstrap,Controlled direct effect,2.1152016737799384
146,GAM bootstrap,Indirect effect,4.9773384218567385
147,GAM bootstrap,Total effect,5.2457300880183
147,GAM bootstrap,Controlled direct effect,2.094294733723496
147,GAM bootstrap,Indirect effect,3.1514353542948044
148,GAM bootstrap,Total effect,6.114458123657711
148,GAM bootstrap,Controlled direct effect,2.1631175300237
148,GAM bootstrap,Indirect effect,3.9513405936340105
149,GAM bootstrap,Total effect,5.8314920989861045
149,GAM bootstrap,Controlled direct effect,2.238454616514955
149,GAM bootstrap,Indirect effect,3.5930374824711495
150,GAM bootstrap,Total effect,5.2280079227171425
150,GAM bootstrap,Controlled direct effect,2.5170344242970155
150,GAM bootstrap,Indirect effect,2.710973498420127
